Index;Date;Time;Temperature(°C);Cardio(BPM);Saturation(%SpO2);Audio(%max);Rotation(rad/s);Acceleration(m/s2)
1;07/03/2023;13:23:16;26.75;0.00;0;0.00;0.08;10.09
2;07/03/2023;13:23:18;26.89;23.53;0;0.00;0.56;7.01
3;07/03/2023;13:23:20;26.98;39.34;95;0.00;0.21;9.52
4;07/03/2023;13:23:22;27.06;33.86;95;99.00;0.77;9.10
5;07/03/2023;13:23:24;27.11;34.19;0;99.00;0.07;10.07
6;07/03/2023;13:23:26;27.16;0.00;0;99.00;0.07;10.07
7;07/03/2023;13:23:28;27.21;0.00;0;99.00;0.07;10.06
8;07/03/2023;13:23:30;27.26;0.00;0;99.00;0.07;10.08
9;07/03/2023;13:23:32;27.30;0.00;0;99.00;0.07;10.08
10;07/03/2023;13:23:34;27.34;0.00;0;99.00;0.07;10.09
11;07/03/2023;13:23:36;27.37;0.00;0;99.00;0.07;10.09
12;07/03/2023;13:23:38;27.42;0.00;0;99.00;0.07;10.07
13;07/03/2023;13:23:40;27.45;0.00;0;99.00;0.07;10.08
14;07/03/2023;13:23:42;27.49;0.00;0;99.00;0.70;10.17
15;07/03/2023;13:23:44;27.50;5.08;0;99.00;0.69;9.87
16;07/03/2023;13:23:46;27.54;22.01;95;99.00;0.48;11.95
17;07/03/2023;13:23:48;27.57;0.00;0;99.00;0.77;9.89
18;07/03/2023;13:23:50;27.60;62.27;0;99.00;0.73;8.73
19;07/03/2023;13:23:52;27.61;82.94;95;99.00;0.20;10.27
20;07/03/2023;13:23:54;27.64;65.98;94;99.00;0.07;10.10
21;07/03/2023;13:23:56;27.69;55.06;94;99.00;0.07;10.08
22;07/03/2023;13:23:58;27.70;0.00;0;99.00;0.07;10.07
23;07/03/2023;13:24:00;27.72;0.00;0;99.00;0.07;10.10
24;07/03/2023;13:24:02;27.74;0.00;0;99.00;0.07;10.08
25;07/03/2023;13:24:04;27.78;0.00;0;99.00;0.06;9.93
26;07/03/2023;13:24:06;27.80;0.00;0;99.00;0.07;10.07
27;07/03/2023;13:24:08;27.82;0.00;0;99.00;0.07;10.06
28;07/03/2023;13:24:10;27.82;0.00;0;99.00;0.07;10.09
29;07/03/2023;13:24:12;27.86;0.00;0;99.00;0.07;10.07
30;07/03/2023;13:24:14;27.86;0.00;0;99.00;0.07;10.06
31;07/03/2023;13:24:16;27.88;0.00;0;99.00;0.07;10.07
32;07/03/2023;13:24:18;27.90;0.00;0;99.00;0.07;10.09
33;07/03/2023;13:24:21;27.91;0.00;0;99.00;0.07;10.07
34;07/03/2023;13:24:23;27.95;0.00;0;99.00;0.07;10.07
35;07/03/2023;13:24:25;27.94;0.00;0;99.00;0.07;10.07
36;07/03/2023;13:24:27;27.97;0.00;0;99.00;0.07;10.08
37;07/03/2023;13:24:29;27.97;0.00;0;99.00;0.07;10.06
38;07/03/2023;13:24:31;28.00;0.00;0;99.00;0.07;10.07
39;07/03/2023;13:24:33;28.02;0.00;0;99.00;0.06;10.07
40;07/03/2023;13:24:35;28.01;0.00;0;99.00;0.07;10.09
41;07/03/2023;13:24:37;28.05;0.00;0;99.00;0.07;10.09
42;07/03/2023;13:24:39;28.07;0.00;0;99.00;0.07;10.07
43;07/03/2023;13:24:41;28.07;0.00;0;99.00;0.07;10.07
44;07/03/2023;13:24:43;28.06;0.00;0;99.00;0.06;10.07
45;07/03/2023;13:24:45;28.10;0.00;0;99.00;0.07;10.06
46;07/03/2023;13:24:47;28.11;0.00;0;99.00;0.07;10.08
47;07/03/2023;13:24:49;28.14;0.00;0;99.00;0.07;10.09
48;07/03/2023;13:24:51;28.17;0.00;0;99.00;0.07;10.08
49;07/03/2023;13:24:53;28.16;0.00;0;99.00;0.06;10.07
50;07/03/2023;13:24:55;28.16;0.00;0;99.00;0.07;10.07
51;07/03/2023;13:24:57;28.18;0.00;0;99.00;0.07;10.10
52;07/03/2023;13:24:59;28.17;0.00;0;99.00;0.07;10.07
53;07/03/2023;13:25:01;28.21;0.00;0;99.00;0.07;10.07
54;07/03/2023;13:25:03;28.20;0.00;0;99.00;0.06;10.09
55;07/03/2023;13:25:05;28.22;0.00;0;99.00;0.07;10.07
56;07/03/2023;13:25:07;28.19;0.00;0;99.00;0.07;10.09
57;07/03/2023;13:25:09;28.23;0.00;0;99.00;0.06;10.06
58;07/03/2023;13:25:11;28.24;0.00;0;99.00;0.07;10.08
59;07/03/2023;13:25:13;28.24;0.00;0;99.00;0.07;10.10
60;07/03/2023;13:25:15;28.25;0.00;0;99.00;0.07;10.07
61;07/03/2023;13:25:17;28.28;0.00;0;99.00;0.07;10.06
62;07/03/2023;13:25:19;28.29;0.00;0;99.00;0.07;10.07
63;07/03/2023;13:25:21;28.28;0.00;0;99.00;0.07;10.08
64;07/03/2023;13:25:23;28.29;0.00;0;99.00;0.06;10.07
65;07/03/2023;13:25:25;28.31;0.00;0;99.00;0.07;10.09
66;07/03/2023;13:25:27;28.34;0.00;0;99.00;0.07;10.08
67;07/03/2023;13:25:29;28.34;0.00;0;99.00;0.07;10.07
68;07/03/2023;13:25:31;28.34;0.00;0;99.00;0.07;10.07
69;07/03/2023;13:25:33;28.36;0.00;0;99.00;0.07;10.07
70;07/03/2023;13:25:35;28.36;0.00;0;99.00;0.07;10.08
71;07/03/2023;13:25:37;28.37;0.00;0;99.00;0.07;10.07
72;07/03/2023;13:25:39;28.38;0.00;0;99.00;0.07;10.08
73;07/03/2023;13:25:41;28.40;0.00;0;99.00;0.07;10.08
74;07/03/2023;13:25:43;28.41;0.00;0;99.00;0.07;10.08
75;07/03/2023;13:25:45;28.39;0.00;0;99.00;0.07;10.08
