Index;Date;Time;Temperature(°C);Cardio(BPM);Saturation(%SpO2);Audio(%max);Rotation(rad/s);Acceleration(m/s2)
1;07/04/2023;18:59:38;18.48;0.00;0;0.00;0.39;9.90
2;07/04/2023;18:59:40;18.62;23.36;0;2.47;1.30;9.85
3;07/04/2023;18:59:42;18.71;43.98;0;2.10;0.79;9.30
4;07/04/2023;18:59:44;18.77;0.00;0;2.26;0.07;10.00
5;07/04/2023;18:59:46;18.81;42.03;0;2.42;0.07;10.08
6;07/04/2023;18:59:48;18.86;0.00;0;2.49;0.07;10.09
7;07/04/2023;18:59:50;18.91;0.00;0;2.41;0.07;10.08
8;07/04/2023;18:59:52;18.97;0.00;0;2.45;0.07;10.07
9;07/04/2023;18:59:54;18.98;0.00;0;2.40;0.07;10.10
10;07/04/2023;18:59:56;19.03;0.00;0;2.49;0.07;10.09
11;07/04/2023;18:59:58;19.06;0.00;0;2.48;0.07;10.10
12;07/04/2023;19:00:00;19.10;0.00;0;2.51;0.07;10.07
13;07/04/2023;19:00:02;19.12;0.00;0;2.11;0.07;10.09
14;07/04/2023;19:00:04;19.17;0.00;0;2.14;0.07;10.08
15;07/04/2023;19:00:06;19.17;0.00;0;1.99;0.07;10.09
16;07/04/2023;19:00:08;19.21;0.00;0;2.12;0.07;10.09
17;07/04/2023;19:00:10;19.22;0.00;0;2.08;0.07;10.08
18;07/04/2023;19:00:12;19.27;0.00;0;2.08;0.07;10.11
19;07/04/2023;19:00:14;19.28;0.00;0;2.03;0.07;10.07
20;07/04/2023;19:00:16;19.30;0.00;0;1.98;0.07;10.08
21;07/04/2023;19:00:18;19.34;0.00;0;2.04;0.07;10.10
22;07/04/2023;19:00:20;19.33;0.00;0;1.97;0.07;10.08
23;07/04/2023;19:00:22;19.36;0.00;0;1.91;0.07;10.09
24;07/04/2023;19:00:24;19.37;0.00;0;2.13;0.07;10.09
25;07/04/2023;19:00:26;19.41;0.00;0;2.04;0.07;10.09
26;07/04/2023;19:00:28;19.42;0.00;0;2.09;0.07;10.08
27;07/04/2023;19:00:30;19.42;0.00;0;1.95;0.07;10.10
28;07/04/2023;19:00:32;19.45;0.00;0;1.86;0.07;10.08
29;07/04/2023;19:00:34;19.47;0.00;0;2.12;0.07;10.09
30;07/04/2023;19:00:36;19.48;0.00;0;2.02;0.07;10.07
31;07/04/2023;19:00:38;19.47;0.00;0;1.95;0.07;10.11
32;07/04/2023;19:00:40;19.51;0.00;0;2.02;0.07;10.08
33;07/04/2023;19:00:42;19.51;0.00;0;2.16;0.07;10.08
34;07/04/2023;19:00:44;19.53;0.00;0;2.01;0.07;10.10
35;07/04/2023;19:00:46;19.53;0.00;0;2.03;0.07;10.08
36;07/04/2023;19:00:48;19.54;0.00;0;1.96;0.07;10.08
37;07/04/2023;19:00:50;19.57;0.00;0;1.99;0.07;10.08
38;07/04/2023;19:00:52;19.55;0.00;0;2.01;0.07;10.10
39;07/04/2023;19:00:54;19.57;0.00;0;2.03;0.07;10.08
