Index;Date;Time;Cardio1;Saturation1;Cardio2;Saturation2;Cardio3;Saturation3;Acceleration g;Acceleration a
1;5/1/2023;6:34:5;0.00;0;0.00;0;0.00;0;0.03;1.76
2;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;0.03;1.76
3;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;3.66;1.75
4;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;0.03;1.75
5;5/1/2023;6:34:5;0.00;0;0.00;0;0.00;0;0.03;1.84
6;5/1/2023;6:34:5;0.00;0;0.00;0;0.00;0;3.66;1.75
7;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;0.03;1.76
8;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;0.04;1.75
9;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;3.66;1.75
10;5/1/2023;6:34:5;0.00;0;0.00;0;0.00;0;3.66;1.75
11;5/1/2023;6:34:5;0.00;0;0.00;0;0.00;0;0.04;1.75
12;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;3.66;1.75
13;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;0.04;1.76
14;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;0.04;1.76
15;5/1/2023;6:34:5;0.00;0;0.00;0;0.00;0;0.11;1.84
16;5/1/2023;6:34:5;0.00;0;0.00;0;0.00;0;3.70;0.89
17;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;0.06;0.86
18;5/1/2023;6:34:21;0.00;0;0.00;0;0.00;0;3.74;1.83
19;5/1/2023;6:34:21;0.00;0;0.00;0;0.00;0;0.16;0.86
20;5/1/2023;6:34:25;0.00;0;0.00;0;0.00;0;0.07;0.89
21;5/1/2023;6:34:25;0.00;0;0.00;0;0.00;0;3.68;0.90
22;5/1/2023;6:34:21;0.00;0;0.00;0;0.00;0;0.05;0.90
23;5/1/2023;6:34:21;0.00;0;0.00;0;0.00;0;0.04;0.90
24;5/1/2023;6:34:21;0.00;0;0.00;0;0.00;0;3.66;0.90
25;5/1/2023;6:34:25;0.00;0;0.00;0;0.00;0;3.66;0.90
26;5/1/2023;6:34:25;0.00;0;0.00;0;0.00;0;3.66;0.90
27;5/1/2023;6:34:21;0.00;0;0.00;0;0.00;0;0.08;1.85
28;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;3.68;1.75
29;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;3.66;1.84
30;5/1/2023;6:34:5;0.00;0;0.00;0;0.00;0;3.66;1.84
31;5/1/2023;6:34:5;0.00;0;0.00;0;0.00;0;3.66;1.84
32;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;0.04;1.84
33;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;3.66;1.84
34;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;3.66;1.84
35;5/1/2023;6:34:5;0.00;0;0.00;0;0.00;0;3.66;1.84
36;5/1/2023;6:34:5;0.00;0;0.00;0;0.00;0;3.66;1.84
37;5/1/2023;6:34:1;0.00;0;0.00;0;0.00;0;3.66;1.84
38;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
39;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
40;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
41;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
42;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
43;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
44;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
45;5/1/2023;6:34:4;0.00;0;0.00;0;0.00;0;3.66;1.84
46;5/1/2023;6:34:0;0.00;0;0.00;0;0.00;0;3.66;1.84
47;5/1/2023;6:34:20;0.00;0;0.00;0;0.00;0;3.66;1.84
48;5/1/2023;6:34:20;0.00;0;0.00;0;0.00;0;3.66;1.84
49;5/1/2023;6:34:24;0.00;0;0.00;0;0.00;0;3.66;1.84
