Index;Date;Time;Temperature(°C);Cardio(BPM);Saturation(%SpO2);Audio(%max);Rotation(rad/s);Acceleration(m/s2)
1;30/04/2023;12:28:18;22.47;0.00;0;0.00;0.04;10.21
2;30/04/2023;12:28:20;22.59;0.00;0;2.93;0.04;10.25
3;30/04/2023;12:28:22;22.70;0.00;0;2.85;0.04;10.25
4;30/04/2023;12:28:24;22.77;0.00;0;3.11;0.04;10.22
5;30/04/2023;12:28:26;22.82;6.64;0;2.33;0.28;9.82
6;30/04/2023;12:28:28;22.89;0.00;0;3.21;0.31;10.31
7;30/04/2023;12:28:30;22.92;0.00;0;3.39;0.03;10.12
8;30/04/2023;12:30:11;22.84;0.00;0;0.00;0.04;10.14
9;30/04/2023;12:30:13;22.97;0.00;0;2.58;0.04;10.13
10;30/04/2023;12:30:15;23.06;0.00;0;2.64;0.04;10.12
11;30/04/2023;12:30:17;23.13;0.00;0;2.67;0.04;10.11
12;30/04/2023;12:30:19;23.17;0.00;0;2.67;0.04;10.14
13;30/04/2023;12:30:21;23.21;0.00;0;2.51;0.05;10.10
14;30/04/2023;12:30:23;23.26;0.00;0;2.57;0.05;10.13
15;30/04/2023;12:30:25;23.28;0.00;0;2.55;0.04;10.13
16;30/04/2023;12:30:27;23.32;0.00;0;2.92;0.04;10.14
17;30/04/2023;12:30:29;23.35;0.00;0;2.44;0.04;10.12
18;30/04/2023;12:30:31;23.39;0.00;0;2.56;0.04;10.14
19;30/04/2023;12:30:33;23.40;0.00;0;2.71;0.04;10.13
20;30/04/2023;12:30:35;23.44;0.00;0;2.74;0.04;10.12
21;30/04/2023;12:30:38;23.47;0.00;0;2.94;0.04;10.14
22;30/04/2023;12:30:40;23.47;0.00;0;2.71;0.04;10.13
23;30/04/2023;12:30:42;23.50;0.00;0;2.37;0.04;10.13
24;30/04/2023;12:30:44;23.52;0.00;0;2.70;0.04;10.14
25;30/04/2023;12:30:46;23.55;0.00;0;2.65;0.04;10.14
26;30/04/2023;12:30:48;23.54;0.00;0;2.76;0.04;10.13
27;30/04/2023;12:30:50;23.58;0.00;0;2.61;0.04;10.12
28;30/04/2023;12:30:52;23.60;0.00;0;2.53;0.04;10.13
29;30/04/2023;12:30:54;23.62;0.00;0;2.83;0.04;10.12
30;30/04/2023;12:30:56;23.64;0.00;0;2.54;0.04;10.11
31;30/04/2023;12:30:58;23.65;0.00;0;2.87;0.04;10.16
32;30/04/2023;12:31:00;23.69;0.00;0;2.74;0.04;10.14
33;30/04/2023;12:31:02;23.69;0.00;0;2.55;0.04;10.13
34;30/04/2023;12:31:04;23.72;0.00;0;2.59;0.04;10.12
35;30/04/2023;12:31:06;23.73;0.00;0;2.64;0.04;10.12
36;30/04/2023;12:31:08;23.73;0.00;0;2.78;0.04;10.12
37;30/04/2023;12:31:10;23.77;0.00;0;2.79;0.04;10.15
38;30/04/2023;12:31:12;23.79;0.00;0;2.83;0.04;10.16
39;30/04/2023;12:31:14;23.79;0.00;0;2.13;0.05;10.13
40;30/04/2023;12:31:16;23.80;0.00;0;2.90;0.05;10.12
41;30/04/2023;12:31:18;23.82;0.00;0;3.00;0.04;10.13
42;30/04/2023;12:31:20;23.82;0.00;0;3.09;0.04;10.13
43;30/04/2023;12:31:22;23.84;0.00;0;2.98;0.04;10.15
