Index;Date;Time;Cardio(BPM);Saturation(%SpO2);Audio(%max);Movement;Silence;Evenement
5;10/04/2023;22:19:46;96.60;94.00;1.39;0.56;0.29;0.07
6;10/04/2023;22:19:48;84.68;94.00;1.48;0.08;0.27;0.13
7;10/04/2023;22:19:50;84.39;94.00;1.20;0.17;0.24;0.12
8;10/04/2023;22:19:52;88.58;94.00;1.17;0.41;0.26;0.13
9;10/04/2023;22:19:54;70.62;94.01;1.22;0.25;0.34;0.17
10;10/04/2023;22:19:56;73.78;94.01;1.43;0.43;0.03;0.02
11;10/04/2023;22:19:58;74.46;94.02;1.38;0.15;0.00;0.00
12;10/04/2023;22:20:00;70.56;94.03;1.26;0.35;0.00;0.00
13;10/04/2023;22:20:02;71.90;94.04;0.82;0.29;0.00;0.00
14;10/04/2023;22:20:04;72.80;94.07;0.59;0.22;0.00;0.00
15;10/04/2023;22:20:06;67.45;94.10;0.41;0.51;0.00;0.00
16;10/04/2023;22:20:08;64.87;94.15;0.71;0.12;0.06;0.03
17;10/04/2023;22:20:10;54.96;94.21;0.57;0.03;0.29;0.15
18;10/04/2023;22:20:12;52.39;94.36;0.63;0.01;0.23;0.07
19;10/04/2023;22:20:14;50.91;94.59;0.86;0.01;0.10;0.01
20;10/04/2023;22:20:16;49.69;94.93;0.58;0.01;0.07;0.00
21;10/04/2023;22:20:18;49.17;95.25;0.92;0.00;0.10;0.00
22;10/04/2023;22:20:20;49.24;95.62;0.74;0.00;0.42;0.00
23;10/04/2023;22:20:22;49.97;95.92;0.74;0.01;0.78;0.00
24;10/04/2023;22:20:24;51.60;96.20;0.79;0.00;0.73;0.00
25;10/04/2023;22:20:26;54.72;96.32;0.65;0.00;0.47;0.01
26;10/04/2023;22:20:28;56.98;96.29;0.88;0.00;0.54;0.04
27;10/04/2023;22:20:30;52.75;96.32;0.78;0.01;0.73;0.06
28;10/04/2023;22:20:32;52.42;96.43;0.79;0.00;0.72;0.03
29;10/04/2023;22:20:34;53.66;96.65;0.92;0.00;0.66;0.01
30;10/04/2023;22:20:36;56.90;96.77;0.81;0.01;0.64;0.00
31;10/04/2023;22:20:38;60.89;96.85;0.81;0.01;0.61;0.00
32;10/04/2023;22:20:40;64.82;96.91;0.53;0.00;0.88;0.00
Index;Date;Time;Cardio(BPM);Saturation(%SpO2);Audio(%max);Movement;Silence;Evenement
68;10/04/2023;22:21:53;69.01;96.08;1.23;0.05;0.39;0.00
69;10/04/2023;22:21:55;67.92;96.13;1.25;0.00;0.23;0.00
70;10/04/2023;22:21:57;66.08;96.00;1.18;0.10;0.25;0.00
71;10/04/2023;22:21:59;63.86;95.87;0.86;0.17;0.22;0.01
